ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
839-18-2015|4603754821459|Mike|Perry|M|86326 Hardin Mount|Schaumburg|IL|60195|42.0764|-88.1093|92294|Scientist, clinical (histocompatibility and immunogenetics)|1966-05-21|750737122054|adults_50up_male_urban.json
031-57-2386|060481155624|Jessica|Long|F|290 Barnes Springs|Homosassa|FL|34446|28.7508|-82.5139|27123|Surgeon|1998-04-22|334464334871|adults_2550_female_urban.json
761-41-5639|578926738993|Marissa|Terry|F|41085 Hardy Streets Apt. 884|Pocatello|ID|83201|42.8876|-112.4381|78008|Engineer, production|2003-07-20|558744405500|young_adults_female_urban.json
320-67-5583|4008943468105486|Henry|Williams|M|4907 Bird Valley|Palmer|AK|99645|61.6303|-148.9872|25176|Television camera operator|1996-10-10|784113269443|adults_2550_male_urban.json
682-69-9758|4449268315897|Corey|Osborne|M|26611 Roger Curve Suite 371|West Chester|PA|19380|39.9845|-75.5962|105091|Merchant navy officer|1972-05-11|578432547912|adults_50up_male_urban.json
603-72-8503|6597677622827724|Walter|Palmer|M|377 Julie Points|Weehawken|NJ|07086|40.7681|-74.0208|12554|Merchant navy officer|1989-09-14|661935059927|adults_2550_male_urban.json
113-16-6056|3508215454470225|Richard|Fisher|M|3270 Amy Cliff Apt. 679|King|NC|27021|36.295|-80.356|18106|Insurance claims handler|1961-11-26|496351176830|adults_50up_male_urban.json
801-49-7787|3528777251996633|Stephanie|Morgan|F|741 Jasmine Ports|Ada|OK|74820|34.78|-96.6924|30802|Insurance broker|1958-06-30|711079270988|adults_50up_female_urban.json
660-72-1396|4983780182047|Richard|Sanchez|M|89569 Travis Brooks Suite 626|Renton|WA|98058|47.4465|-122.1216|141407|Aeronautical engineer|2003-03-18|583512746771|young_adults_male_urban.json
392-33-1492|5482422412462097|Tonya|White|F|6152 Orozco Green|Nampa|ID|83651|43.5834|-116.5848|104532|Mining engineer|1968-10-19|910282144077|adults_50up_female_urban.json
054-26-3926|3578861405786170|Alyssa|Schultz|F|8913 Kevin Lodge|Southborough|MA|01772|42.2939|-71.532|9370|Product designer|1980-02-12|928073319573|adults_2550_female_urban.json
513-27-2333|343868700794205|Amy|Weeks|F|465 Brenda Pass Suite 028|Mesa|AZ|85203|33.437|-111.8057|478404|Surveyor, quantity|1972-08-19|326717883990|adults_50up_female_urban.json
405-90-2015|4639855474355375|Tyler|Murphy|M|097 Rachel Spring|Las Vegas|NV|89129|36.245|-115.2743|1417793|Early years teacher|1994-01-19|611659877737|adults_2550_male_urban.json
721-63-6436|213118071569563|Cassandra|Tate|F|75370 Julia Trace|El Paso|TX|79912|31.8383|-106.5364|749635|Health visitor|1981-09-12|393888005209|adults_2550_female_urban.json
093-79-4968|3537504793036143|Laura|Snyder|F|999 Cameron Crossroad|Granite City|IL|62040|38.7261|-90.1106|43735|Bookseller|1980-07-08|284015153138|adults_2550_female_urban.json
877-30-8571|3530894870605663|Donald|Frazier|M|5803 Joshua Manor Suite 506|Dwight|IL|60420|41.0887|-88.4159|6102|Engineer, broadcasting (operations)|1943-05-23|87336896474|adults_50up_male_urban.json
828-04-3697|3513325411076099|Robert|Mcconnell|M|17350 Stone Freeway Apt. 997|Williamsburg|VA|23188|37.3178|-76.7634|85370|Chief of Staff|1987-06-16|492312124212|adults_2550_male_urban.json
128-11-0995|630451207041|Leslie|Reynolds|M|080 Horn Locks|Milford Center|OH|43045|40.1817|-83.4373|1953|Chief Operating Officer|2003-09-12|827285012637|young_adults_male_rural.json
239-77-0174|36769915078594|Cheryl|Garcia|F|392 Kelly Orchard|Benton|AR|72019|34.604|-92.6259|50653|Web designer|1998-12-27|203773109823|adults_2550_female_urban.json
141-06-0992|4968549822749543|Jackie|Smith|F|38806 Gonzalez Flats|Fairborn|OH|45324|39.8053|-84.0198|40529|Engineer, drilling|1982-04-09|76387126423|adults_2550_female_urban.json
194-86-7795|3595995946521701|Jon|Mora|M|379 John Street|Trinity|TX|75862|30.942|-95.3403|10091|Learning disability nurse|1963-08-15|815216022800|adults_50up_male_urban.json
211-52-3019|580150812478|Cheyenne|Willis|F|03342 Nicole Stravenue Apt. 583|Ryegate|MT|59074|46.2724|-109.2761|490|Editor, magazine features|1942-10-15|22316596654|adults_50up_female_rural.json
864-34-1658|676326153472|David|Pacheco|M|961 Drew Curve|Hopkins|MN|55343|44.914|-93.4481|43301|Energy manager|1979-12-28|584938817144|adults_2550_male_urban.json
712-48-5210|3530993842530429|Samuel|Schmitt|M|17912 Potter Rue Suite 787|Baltimore|MD|21205|39.3009|-76.5799|635495|Editorial assistant|1988-11-13|783066267688|adults_2550_male_urban.json
539-89-7919|3574969033373636|Eric|Oneal|M|4812 Kenneth Path|Lexington|KY|40509|38.0102|-84.4274|296965|Management consultant|1939-09-20|640938732280|adults_50up_male_urban.json
477-66-5512|6576657546027341|Matthew|Howard|M|8881 House Courts|White Pigeon|MI|49099|41.7929|-85.675|5629|Commissioning editor|1972-05-26|395443431480|adults_50up_male_urban.json
560-26-5469|4444392840449|Rodney|Logan|M|9078 Michelle Forks Apt. 373|Lexington|KY|40509|38.0102|-84.4274|296965|Scientist, clinical (histocompatibility and immunogenetics)|1980-04-20|865809587905|adults_2550_male_urban.json
776-60-7560|345366377805295|Shane|Torres|M|5536 Jennings Lodge|Granite Bay|CA|95746|38.7435|-121.1897|21460|Soil scientist|1997-10-20|357769217573|adults_2550_male_urban.json
024-73-0528|4599996636186379|Ashley|Hudson|F|412 Emily Fall Apt. 970|Garfield|AR|72732|36.4288|-93.9512|4716|Embryologist, clinical|1982-12-21|73869137112|adults_2550_female_urban.json
291-27-3819|4705802566212867162|Tina|Glenn|F|46729 Matthews Parkway|Cincinnati|OH|45215|39.2353|-84.4619|795220|Proofreader|1978-02-16|220226342085|adults_2550_female_urban.json
147-58-1049|6011859777901474|Gregory|Kirby|M|9263 Rachel Street Suite 762|Shingle Springs|CA|95682|38.6465|-120.9641|29114|Teacher, adult education|1977-04-02|429907045757|adults_2550_male_urban.json
045-31-2588|4137681511856724388|Amanda|Johnson|F|5636 Alex Crescent Apt. 577|Mesa|AZ|85209|33.3782|-111.6406|478404|Psychologist, clinical|1985-10-09|90487389653|adults_2550_female_urban.json
673-32-7172|4422091241862102|Michael|Hernandez|M|30837 Mary Valleys Apt. 647|Brooklyn|NY|11237|40.7006|-73.918|2504700|Associate Professor|1967-08-29|6864239738|adults_50up_male_urban.json
791-49-3306|4331060053134|Tyler|Davis|M|206 Lisa Islands|Roanoke|VA|24018|37.2503|-80.0525|165571|Surveyor, planning and development|1999-08-27|208850457458|adults_2550_male_urban.json
213-70-6473|6011331552065065|Christy|Robinson|F|950 Nicole Loop Suite 971|Fort Worth|TX|76120|32.7639|-97.1781|813980|Software engineer|1961-04-03|935968824759|adults_50up_female_urban.json
176-33-1553|3562525715099768|Jorge|Harmon|M|09143 Todd River|Centereach|NY|11720|40.8705|-73.0822|29189|Cartographer|1974-05-14|150581222763|adults_50up_male_urban.json
511-38-3310|4303975245086409|Crystal|Quinn|F|38033 Boyd Falls Suite 017|Owensboro|KY|42301|37.7513|-87.1554|81349|Building control surveyor|1968-09-28|214549341145|adults_50up_female_urban.json
650-19-3346|4298338167423364|Cassandra|Wright|F|734 Miller Lake Suite 627|Grove Hill|AL|36451|31.6755|-87.7636|4977|Prison officer|1949-10-09|555866252092|adults_50up_female_urban.json
753-56-2554|30066149828241|James|Torres|M|8971 Taylor Mountains Apt. 230|Ionia|MI|48846|42.9859|-85.071|20269|Administrator, Civil Service|1960-09-25|553456594481|adults_50up_male_urban.json
743-48-8052|6565674916016922|Cory|Graham|M|587 Horton Run Suite 633|Staten Island|NY|10306|40.5682|-74.1184|468730|Purchasing manager|2003-11-06|398629342571|young_adults_male_urban.json
724-87-0463|3549724399201166|James|Willis|M|362 King Hollow|Schaumburg|IL|60194|42.0289|-88.1167|92294|Restaurant manager, fast food|1974-06-20|588271720953|adults_50up_male_urban.json
392-76-5046|3511952436402703|Anne|Ayala|F|646 Gregory Ferry Apt. 372|Salt Lake City|UT|84120|40.695|-112.0001|594043|Retail buyer|1953-05-28|124332789091|adults_50up_female_urban.json
581-28-3042|4234679121419|James|Hill|M|93771 Bruce Terrace Apt. 901|Auburn|NY|13021|42.93|-76.5626|41239|Engineer, mining|1975-05-02|869826803572|adults_50up_male_urban.json
385-78-8521|4759655553566905512|Aaron|Harrell|M|209 Misty Harbors Apt. 579|Harrisonburg|VA|22802|38.4905|-78.8179|67593|Public relations officer|1981-03-31|453183104890|adults_2550_male_urban.json
193-01-5279|676350573975|Jennifer|Salazar|F|6716 Lawson Station|Jackson|MI|49202|42.2634|-84.4083|104131|Customer service manager|2000-06-19|574966665129|adults_2550_female_urban.json
804-92-8268|503871487271|Troy|Olson|M|32116 Ethan Islands|Holyoke|MA|01040|42.202|-72.6262|39880|Music therapist|1995-06-17|308233949370|adults_2550_male_urban.json
737-33-7804|4287153991566863|Rhonda|Walker|F|1115 Julie Crescent|Henderson|NV|89011|36.1065|-114.9192|264999|Teacher, primary school|1985-07-01|139018371982|adults_2550_female_urban.json
390-74-0028|4983665528993160877|Ethan|Cabrera|M|77294 Julie Vista Apt. 954|Copper Center|AK|99573|61.471|-144.991|1115|Retail buyer|1996-08-30|760167701011|adults_2550_male_rural.json
281-91-9404|30374605233025|Scott|Luna|M|208 Rogers Springs Suite 566|New Carlisle|OH|45344|39.93|-84.0217|16955|Building surveyor|1973-03-14|801130991631|adults_50up_male_urban.json
290-90-3197|3512590472927743|Stephanie|Clark|F|059 Erika Walks|Anthony|NM|88021|32.0682|-106.5705|18421|Data scientist|1951-08-18|472372101972|adults_50up_female_urban.json
862-22-0923|2287201859626305|Barbara|Sanders|F|926 Kimberly Way Suite 475|Philadelphia|PA|19111|40.0596|-75.0818|1526206|Administrator, arts|1969-02-12|125069449315|adults_50up_female_urban.json
125-63-8352|4999741926769|Edwin|Martinez|M|82606 Brown Villages Apt. 312|Shelby|NC|28152|35.2689|-81.5337|52833|Tour manager|1997-10-23|200554425137|adults_2550_male_urban.json
569-58-5150|5229321840118453|Tracy|Jackson|F|40848 Taylor Overpass|Howell|NJ|07731|40.1481|-74.2137|38304|Intelligence analyst|1955-03-07|667232262429|adults_50up_female_urban.json
523-27-1623|4303243298395429|Monica|Henderson|F|6267 Shirley Springs Suite 283|Laurens|SC|29360|34.5289|-82.0551|20977|Building services engineer|1951-04-24|805862859182|adults_50up_female_urban.json
649-90-3157|3598926256609312|Debra|Schmidt|F|51554 Misty Fork Suite 016|Tallahassee|FL|32303|30.4874|-84.3189|245317|Environmental education officer|1970-03-01|859444442469|adults_50up_female_urban.json
180-68-5023|3518594849102562|Christopher|Shaffer|M|9240 Diane Divide Suite 940|Schofield Barracks|HI|96857|24.8598|-168.0218|2522|Metallurgist|1972-03-14|857737191645|adults_50up_male_urban.json
695-78-6853|3527578446834148|Jason|Edwards|M|113 Frederick Centers|Sioux Falls|SD|57103|43.5374|-96.6864|161141|Chartered accountant|1991-06-22|316725531904|adults_2550_male_urban.json
505-02-6947|4778816093068535|Zachary|Guerrero|M|728 Gregory Lakes|Glencoe|MN|55336|44.778|-94.1616|8054|Contracting civil engineer|1929-11-08|388753314711|adults_50up_male_urban.json
433-64-6212|4153814474430965|Daniel|Torres|M|9705 Christina Isle|Cincinnati|OH|45237|39.188|-84.458|795220|Hydrogeologist|2004-09-24|117484074773|young_adults_male_urban.json
359-93-3051|6501673188261700|Brittney|Douglas|F|6545 Mcclain Plain|Round Lake|IL|60073|42.3668|-88.0888|60002|Geophysical data processor|1961-03-05|723438158429|adults_50up_female_urban.json
166-18-5796|3505313402665021|Melvin|Vaughan|M|67872 Potter Tunnel Suite 862|West Palm Beach|FL|33414|26.6627|-80.253|459921|Clinical molecular geneticist|1995-12-13|120077315263|adults_2550_male_urban.json
130-20-5639|213130569067448|John|Hodges|M|282 Juan Crescent|Haslett|MI|48840|42.7531|-84.3989|12501|General practice doctor|1991-09-19|773069447547|adults_2550_male_urban.json
683-55-3251|30189239231264|Andrew|Mooney|M|0931 Omar Pine|Columbus|OH|43228|39.9648|-83.126|783285|Information officer|1996-06-01|698791861372|adults_2550_male_urban.json
228-44-6981|30086041454565|David|Jacobson|M|00534 Ramirez Rest|Carson|CA|90745|33.823|-118.2684|83241|Chiropractor|1968-11-16|203714196644|adults_50up_male_urban.json
504-47-5477|4108255598953439611|Stephen|Anderson|M|93371 Shelly River|Indianapolis|IN|46237|39.673|-86.0757|910148|Lobbyist|1981-08-01|795863781117|adults_2550_male_urban.json
780-26-8742|3502368485571614|John|Mills|M|94240 Laura Square|Somerville|MA|02145|42.3907|-71.0929|73844|Energy manager|1975-02-19|896534545111|adults_50up_male_urban.json
507-88-8724|213127868669437|Cathy|Moore|F|087 Turner Forges|Allenwood|PA|17810|41.1264|-76.9724|4683|Housing manager/officer|1987-07-10|295099706923|adults_2550_female_urban.json
122-22-3669|676134024246|Shane|Williams|M|81059 Nguyen Squares|Prosser|WA|99350|46.2232|-119.771|12979|Stage manager|2004-10-14|791408017807|young_adults_male_urban.json
419-79-4832|340534240891645|Sheila|Walters|F|3543 Moore Fort|Gulfport|MS|39501|30.3826|-89.0976|83530|Politician's assistant|2003-07-18|160497086732|young_adults_female_urban.json
096-64-2974|30223972404224|Robert|Mcdaniel|M|21637 Garcia Pine|Corona|CA|92881|33.8241|-117.5198|233717|Copywriter, advertising|1970-04-18|827755151135|adults_50up_male_urban.json
618-13-6192|6011100231429004|Tina|Rodriguez|F|132 Malone Mills Apt. 457|Kokomo|IN|46901|40.4988|-86.1453|73330|Designer, fashion/clothing|1962-05-26|61176693233|adults_50up_female_urban.json
709-35-8907|5101841862030362|James|Gomez|M|61721 Cristian Haven Suite 195|Lafayette|IN|47909|40.3228|-86.8881|98078|Commissioning editor|1963-06-29|983911742501|adults_50up_male_urban.json
620-20-2918|6592624945147542|Rita|Dawson|F|22526 Griffith Turnpike|Gaithersburg|MD|20882|39.2335|-77.1458|135332|Purchasing manager|1955-06-22|76513338142|adults_50up_female_urban.json
592-55-4563|4522655767695234|Janet|Dunn|F|836 Bianca Manor Apt. 135|Hilliard|OH|43026|40.0322|-83.1383|54017|Accountant, chartered|1960-11-07|20833147382|adults_50up_female_urban.json
572-61-2189|5255247286333024|Bruce|Dominguez|M|0650 Elizabeth Cliffs|Chesapeake|VA|23322|36.6434|-76.242|222272|Publishing rights manager|1950-04-30|656431794367|adults_50up_male_urban.json
031-19-5985|4310962272847656|Jeremy|Newman|M|1200 Wesley Branch|Whittier|CA|90602|33.9693|-118.0337|189948|Occupational hygienist|1982-05-19|467432801736|adults_2550_male_urban.json
897-59-9080|3598436241862364|Manuel|Robinson|M|891 Woods Shoal|Damascus|MD|20872|39.2761|-77.2131|13104|Ophthalmologist|2001-02-18|420164855200|young_adults_male_urban.json
056-48-6951|4111595034282|Ashley|Lewis|F|3830 Joseph Port|Fort Lauderdale|FL|33319|26.1848|-80.2406|711693|Systems analyst|1989-08-10|618668025286|adults_2550_female_urban.json
047-07-5155|2260546835652150|Jason|Figueroa|M|209 Woods Ways|Panama City|FL|32401|30.1606|-85.6494|118090|Applications developer|1980-06-17|177339712408|adults_2550_male_urban.json
699-60-1291|4332288985725458|Loretta|Bentley|F|633 Susan Port|Hurst|TX|76054|32.8558|-97.1755|40185|Research scientist (medical)|2006-02-26|885181618728|young_adults_female_urban.json
147-99-5072|213171752421497|Jack|Davis|M|747 Hines Mills|Washington|ME|04574|44.2693|-69.3842|1510|Counselling psychologist|1936-07-04|137180523039|adults_50up_male_rural.json
500-06-5956|4692758955168740909|Patrick|Sanchez|M|14629 Nash Fork|Atlanta|GA|30344|33.6919|-84.448|900273|Network engineer|1992-05-08|510560624736|adults_2550_male_urban.json
096-45-7633|38112166365154|Grant|Munoz|M|714 Johnson Drives|Plano|TX|75023|33.055|-96.7365|278067|Psychotherapist, dance movement|1964-10-07|700704646267|adults_50up_male_urban.json
328-73-0514|3505673030644213|Charles|Hill|M|7683 White Center|Newton|NC|28658|35.6498|-81.2425|27022|Chief Executive Officer|1971-04-06|991686287359|adults_50up_male_urban.json
351-97-4865|4567782659608939|Angela|Contreras|F|5027 Victor Island|North Little Rock|AR|72117|34.7658|-92.1524|69370|Clothing/textile technologist|1970-07-31|449571171860|adults_50up_female_urban.json
534-93-0061|30279103368290|Jamie|Bailey|F|905 Smith Inlet|Palmdale|CA|93591|34.6019|-117.8123|171170|Retail buyer|1961-12-09|957000539170|adults_50up_female_urban.json
717-64-7472|6555868512765286|Kurt|Daniels|M|6491 Linda Cove Apt. 096|Flushing|NY|11355|40.7536|-73.8226|219342|Civil Service administrator|1984-03-30|822470796467|adults_2550_male_urban.json
558-13-7277|213146337861375|Trevor|Bell|M|6053 Adams Shoals Suite 463|Navarre|OH|44662|40.7204|-81.5338|9656|Accountant, chartered management|1957-03-23|36140245674|adults_50up_male_urban.json
027-20-6135|180052963863967|Sandra|Solis|F|62658 Samuel Courts Apt. 819|Denison|TX|75020|33.745|-96.5496|29908|Nurse, children's|1965-07-12|841139412121|adults_50up_female_urban.json
267-71-2606|341106092098196|Janet|Newton|F|5233 Lee Ville|Woodstock|GA|30189|34.1281|-84.5717|89239|Financial trader|1971-05-06|857817980840|adults_50up_female_urban.json
789-34-0848|4209117911244211752|Thomas|Clark|M|0617 Jason Manor|Viroqua|WI|54665|43.5442|-90.8939|8427|Mining engineer|2004-11-11|347418674161|young_adults_male_urban.json
462-21-2946|4299015579980284137|Larry|Herrera|M|51305 Jeffrey Stream|Wrightsville|PA|17368|39.9966|-76.527|7322|Computer games developer|2003-07-22|301797003309|young_adults_male_urban.json
205-12-5711|3577686342346197|Rebecca|Matthews|F|76769 Cabrera Road|Harlingen|TX|78550|26.1951|-97.689|87263|Clinical cytogeneticist|1975-05-20|423515109958|adults_50up_female_urban.json
205-73-5783|347208496498560|Allen|White|M|2531 Diane Landing Apt. 510|Waxhaw|NC|28173|34.9251|-80.7278|45097|Investment banker, operational|1992-08-10|11546128003|adults_2550_male_urban.json
337-28-7625|3538164938318499|Tracy|Aguirre|M|665 Gonzalez Causeway|Planada|CA|95365|37.3585|-120.3124|4985|Research officer, political party|1995-05-22|49386329864|adults_2550_male_urban.json
432-16-2034|30295963904099|William|Buck|M|60880 Newman Cliff Suite 164|Fort Lauderdale|FL|33351|26.1793|-80.2746|711693|Haematologist|1958-05-03|825996040059|adults_50up_male_urban.json
410-11-9117|379064771591038|Anthony|Smith|M|6321 Jennifer Valleys|Buffalo|NY|14224|42.8371|-78.7484|564824|Merchandiser, retail|1962-10-07|995642772692|adults_50up_male_urban.json
006-89-0861|4104145964229712525|Nicole|Barron|F|718 Becky Shore Suite 457|Myakka City|FL|34251|27.3648|-82.1849|6351|Equities trader|1997-04-16|288157084137|adults_2550_female_urban.json
729-11-5784|213131170303768|Cole|Garcia|M|885 Erickson Shoal|Rowley|MA|01969|42.7138|-70.907|5856|Designer, exhibition/display|1970-01-29|557692084425|adults_50up_male_urban.json
134-29-5958|6598363146249120|Joel|Rodriguez|M|07240 Stanley Mission|Venedocia|OH|45894|40.7685|-84.462|605|Management consultant|1993-08-06|129989670839|adults_2550_male_rural.json
087-46-7070|4686850745102|Mariah|Dennis|F|43629 Moreno Park Suite 103|Lakewood|WA|98499|47.1677|-122.5024|62135|Clinical psychologist|1966-09-21|125497139516|adults_50up_female_urban.json
037-74-4362|4814396661340|Jon|Jackson|M|4940 Jackson Squares|Menlo Park|CA|94025|37.4396|-122.1864|40526|Writer|1975-10-22|813796480365|adults_2550_male_urban.json
874-89-3910|4122572076502411|Christopher|Wolf|M|579 Tracy Gateway|Milwaukee|WI|53216|43.0859|-87.9742|817312|Public house manager|1970-05-22|47714449557|adults_50up_male_urban.json
581-88-4763|4211457758471|Dawn|Ellis|F|5897 Joseph Path Apt. 263|Pinola|MS|39149|31.8277|-90.0088|1649|Curator|1971-08-04|546994984893|adults_50up_female_rural.json
251-74-7057|341361487824553|James|Butler|M|3098 Flowers Crossing Suite 795|Des Moines|IA|50315|41.5444|-93.6192|222785|Homeopath|2003-01-19|545496644624|young_adults_male_urban.json
151-60-2462|180098247414077|Andrew|Campbell|M|74065 Brendan Dam|Terre Haute|IN|47807|39.471|-87.4009|95238|Maintenance engineer|1966-04-29|313011727974|adults_50up_male_urban.json
682-99-9188|4423691430753662|James|Strong|M|9429 Shelton Islands Apt. 342|Agawam|MA|01001|42.0702|-72.6227|16769|Pension scheme manager|2007-01-29|221423962760|young_adults_male_urban.json
313-11-4872|3582661287585755|Jeffrey|Fisher|M|0806 Katelyn Ridges Suite 398|Salt Lake City|UT|84119|40.7016|-111.9461|594043|Midwife|1996-03-30|679151474133|adults_2550_male_urban.json
580-38-0878|6011607870104151|Kristopher|Short|M|501 Jacqueline Path Apt. 872|Spencer|IN|47460|39.2891|-86.7789|11471|Environmental health practitioner|1984-06-26|742578595436|adults_2550_male_urban.json
873-20-4930|4079311029181335|Ashley|Johnson|F|0146 Mcgrath Viaduct Apt. 849|Spring Hill|FL|34608|28.4797|-82.5562|115476|Print production planner|1973-10-06|725245230756|adults_50up_female_urban.json
127-56-2397|4223288377441971|Jacob|Hill|M|176 Hernandez Haven Suite 196|Plano|TX|75024|33.0752|-96.7843|278067|Administrator, arts|2000-12-30|333205873837|young_adults_male_urban.json
661-84-7283|582774025883|Christine|Orr|F|122 Rios Port Suite 724|Dana Point|CA|92629|33.4743|-117.6964|25756|Immunologist|1950-02-27|433463032839|adults_50up_female_urban.json
860-83-7926|6592988425995997|Ronald|Jones|M|231 Victor Springs|Kent|WA|98042|47.368|-122.1206|147876|Publishing copy|1968-04-27|834613761882|adults_50up_male_urban.json
791-94-3877|2227610941017591|Lynn|Johnson|F|1762 James Overpass|San Bernardino|CA|92405|34.1446|-117.3013|236660|Primary school teacher|1944-11-17|316448246954|adults_50up_female_urban.json
207-95-2656|6011190130205696|Kimberly|Jones|F|873 Ashley Mountains|Sellersville|PA|18960|40.362|-75.319|12473|Restaurant manager, fast food|1960-09-03|392354307922|adults_50up_female_urban.json
573-18-1101|36619128411738|Amber|Fernandez|F|44651 Tammy Club|Rochester|MN|55902|44.0032|-92.4835|117815|Social researcher|1976-01-16|264464139737|adults_2550_female_urban.json
626-65-5116|6011819740056434|George|Hubbard|M|85037 Linda Port|Minneapolis|MN|55443|45.1194|-93.3431|1022298|Travel agency manager|1968-08-13|917847786168|adults_50up_male_urban.json
355-10-6820|3587240107835677|Eric|Horn|M|00389 Fleming Street|Yuma|AZ|85367|32.6566|-114.4042|141891|Adult nurse|1950-03-15|530653929487|adults_50up_male_urban.json
397-99-6181|3566821719553561|Tamara|Allen|F|036 Vicki Bridge|Woodlyn|PA|19094|39.876|-75.3463|4406|Fisheries officer|1989-10-09|63619726599|adults_2550_female_urban.json
059-17-7186|4055934296711142|Teresa|Harris|F|74584 Alison Grove Suite 881|Johnson City|NY|13790|42.1267|-75.9685|19104|Audiological scientist|1939-08-10|989331266010|adults_50up_female_urban.json
723-80-7967|4328348315203771070|Russell|Nelson|M|1049 Simpson Wall Suite 670|Fort Edward|NY|12828|43.2653|-73.5822|9448|Environmental manager|1983-12-23|417495431869|adults_2550_male_urban.json
676-56-8725|676340850954|Tammy|Solomon|F|59660 Angela Stravenue|Clovis|CA|93619|36.8432|-119.6518|109930|Holiday representative|1971-04-10|588144128828|adults_50up_female_urban.json
435-74-9312|180026732044133|Raymond|Phillips|M|94544 David Port Suite 427|Palm Springs|CA|92262|33.8414|-116.5347|45562|Psychologist, counselling|1957-10-09|481110497017|adults_50up_male_urban.json
478-05-5878|30360914985173|Christopher|Miranda|M|7232 Monica Shoal Apt. 310|Corinth|KY|41010|38.5302|-84.5846|3217|Educational psychologist|1994-04-20|556990434553|adults_2550_male_urban.json
594-41-0688|213104405809354|Brian|Hunter|M|133 Hudson Village|Auxvasse|MO|65231|39.0122|-91.8858|3334|Pathologist|1980-12-24|704681267877|adults_2550_male_urban.json
897-37-2345|589556574905|Caitlin|Williams|F|019 Lindsey Pass|Salina|KS|67401|38.8237|-97.6421|51499|Rural practice surveyor|1969-07-06|639020125593|adults_50up_female_urban.json
353-28-6207|3526113989868187|Robert|Lawson|M|4394 Mark Union Suite 375|Evansville|IN|47725|38.1071|-87.5256|182901|Commercial art gallery manager|1967-04-02|264969731495|adults_50up_male_urban.json
751-53-5930|2288815793763921|Timothy|Sanchez|M|929 Flynn Junctions Suite 116|Philadelphia|PA|19111|40.0596|-75.0818|1526206|Pharmacist, community|1943-02-21|631997559540|adults_50up_male_urban.json
648-99-3246|4021648712060212|Carlos|Camacho|M|5268 Jennifer Crest Suite 599|Blackwell|TX|79506|32.082|-100.3111|730|Warehouse manager|1957-10-24|50346377953|adults_50up_male_rural.json
757-46-7355|6564722981209954|Michael|Chavez|M|2894 Jesse Park Suite 098|El Cajon|CA|92021|32.8178|-116.9223|165433|Scientist, water quality|1956-07-05|560836091655|adults_50up_male_urban.json
293-42-6293|342036849951547|Christopher|Roberts|M|3244 Sandra Shores Suite 213|Schenectady|NY|12303|42.7823|-73.9448|162643|Sub|1966-07-08|561948324082|adults_50up_male_urban.json
029-77-0652|213107053496788|Beth|Chavez|F|176 Baker Way|Durham|NC|27703|35.9781|-78.8439|256789|Copywriter, advertising|1965-09-29|309207912342|adults_50up_female_urban.json
685-15-5796|2241528547815063|Brian|Thornton|M|80032 Wiggins Forges Apt. 472|Bloomfield Hills|MI|48301|42.5445|-83.2792|45496|Radio producer|1961-11-22|205359003028|adults_50up_male_urban.json
509-37-2160|4830617893207|Jason|Baker|M|935 Moreno Falls Suite 347|Louisville|KY|40272|38.0846|-85.851|736284|Recruitment consultant|1960-12-16|694911733425|adults_50up_male_urban.json
613-46-8904|30413146753610|Christopher|Huber|M|6277 Mcdaniel Burgs|Fowlerville|MI|48836|42.6614|-84.0721|13510|Horticultural therapist|1987-05-06|555201505411|adults_2550_male_urban.json
872-53-0997|180045667664046|Karla|Robinson|F|7639 Amanda Tunnel|Cromwell|CT|06416|41.6105|-72.6663|14005|Clinical molecular geneticist|1957-04-27|672649018684|adults_50up_female_urban.json
133-78-8844|060406155816|Matthew|Stone|M|328 Heath Forks Suite 255|Shelbyville|TX|75973|31.7131|-93.9698|2599|Patent attorney|1942-03-21|606516448533|adults_50up_male_urban.json
255-02-0592|639081867025|Douglas|Johnson|M|41662 Atkins Club|Riverside|IL|60546|41.8379|-87.8213|15668|Buyer, retail|1985-12-13|792440834950|adults_2550_male_urban.json
781-94-6806|501889219637|Sandra|Villarreal|F|8044 Harris Greens Suite 646|Antioch|CA|94509|37.9939|-121.8089|102729|Chief Financial Officer|1958-12-08|615925500452|adults_50up_female_urban.json
495-37-8737|213160765817395|Vanessa|Sanders|F|5791 Cook Valleys|Alpharetta|GA|30009|34.077|-84.3033|165556|Charity officer|1950-06-23|614590016113|adults_50up_female_urban.json
213-63-9723|4269789307466|Eric|Morgan|M|59960 Vaughn Throughway|San Antonio|TX|78242|29.3509|-98.6109|1595797|Surveyor, planning and development|1966-10-04|540284104445|adults_50up_male_urban.json
512-41-3863|377881161620289|Nicole|Martin|F|06728 Taylor Well Suite 604|Castaic|CA|91384|34.4827|-118.6254|29855|Commercial/residential surveyor|1973-07-25|791537663426|adults_50up_female_urban.json
278-67-5282|3592248395894770|Daniel|Rivera|M|87056 Edward Cliff|Garden Grove|CA|92843|33.7671|-117.929|172782|Accountant, chartered public finance|1974-01-09|770138490771|adults_50up_male_urban.json
205-89-1538|180051097921584|Sophia|Cooper|F|44694 Weber Lodge|Fort Belvoir|VA|22060|38.6947|-77.1433|8878|Forest/woodland manager|1967-05-21|595115445810|adults_50up_female_urban.json
